Date,Team,Opp,BO,Pos,PA,H,2B,3B,HR,R,RBI,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+
Total,- - -,- - -,- - -,- - -,1415,369,70,16,47,195,153,26,18,9.5 %,20.6 %,.195,.352,.296,.374,.490,.376,144
2016-04-10,LAD,@SFG,5,RF,5,0,0,0,0,1,0,0,0,20.0 %,40.0 %,.000,.000,.000,.200,.000,.139,-17
2016-04-09,LAD,@SFG,2,RF,5,1,0,0,0,0,0,0,0,20.0 %,0.0 %,.000,.250,.250,.400,.250,.317,91
2016-04-08,LAD,@SFG,5,RF,4,1,0,0,0,0,0,1,0,25.0 %,0.0 %,.000,.333,.333,.500,.333,.396,140
2016-04-07,LAD,@SFG,3,RF,5,2,0,0,0,1,0,0,0,0.0 %,20.0 %,.000,.500,.400,.400,.400,.355,115
2016-04-06,LAD,@SDP,5,RF,4,3,0,0,1,1,1,0,0,0.0 %,0.0 %,.750,.667,.750,.750,1.500,.953,479
2016-04-05,LAD,@SDP,5,RF,4,1,0,1,0,1,2,0,0,25.0 %,0.0 %,.667,.333,.333,.500,1.000,.571,246
2016-04-04,LAD,@SDP,5,RF,5,2,0,1,0,3,1,0,0,20.0 %,20.0 %,.667,1.000,.667,.800,1.333,.779,373
2015-10-04,LAD,SDP,4,RF,2,0,0,0,0,0,0,0,0,0.0 %,50.0 %,.000,.000,.000,.000,.000,.000,-100
2015-10-03,LAD,SDP,6,RF,3,1,0,0,0,0,0,0,0,0.0 %,0.0 %,.000,.333,.333,.333,.333,.294,87
2015-08-27,LAD,@CIN,6,RF,4,2,0,0,0,0,0,0,0,0.0 %,25.0 %,.000,.667,.500,.500,.500,.440,188
2015-08-26,LAD,@CIN,2,RF,5,1,0,0,1,2,2,0,0,20.0 %,0.0 %,.750,.000,.250,.400,1.000,.550,263
2015-08-25,LAD,@CIN,2,RF,5,1,1,0,0,0,1,0,0,0.0 %,20.0 %,.200,.250,.200,.200,.400,.251,58
2015-08-23,LAD,@HOU,6,RF,4,2,0,0,0,0,0,1,0,0.0 %,25.0 %,.000,.667,.500,.500,.500,.440,188
2015-08-22,LAD,@HOU,2,RF,4,1,0,0,0,0,0,0,0,0.0 %,25.0 %,.000,.333,.250,.250,.250,.220,37
2015-08-18,LAD,@OAK,6,RF,4,1,0,0,0,0,0,0,0,25.0 %,0.0 %,.000,.333,.333,.500,.333,.392,155
2015-08-16,LAD,CIN,6,RF,3,1,0,0,0,0,0,0,1,0.0 %,33.3 %,.000,.500,.333,.333,.333,.294,87
2015-08-15,LAD,CIN,5,RF,4,2,0,0,1,2,1,1,0,25.0 %,0.0 %,1.000,.500,.667,.750,1.667,.908,508
2015-08-14,LAD,CIN,6,RF,4,1,0,0,0,0,0,0,0,0.0 %,50.0 %,.000,.500,.250,.250,.250,.220,37
2015-08-13,LAD,CIN,5,RF,4,1,0,0,0,1,0,0,0,0.0 %,0.0 %,.000,.250,.250,.250,.250,.220,37
2015-08-12,LAD,WSN,5,RF,3,0,0,0,0,0,0,0,0,0.0 %,66.7 %,.000,.000,.000,.000,.000,.000,-100
2015-08-11,LAD,WSN,6,RF,4,2,0,1,1,1,5,0,0,0.0 %,0.0 %,1.250,.333,.500,.500,1.750,.915,513
2015-08-10,LAD,WSN,3,RF,4,0,0,0,0,0,0,0,0,0.0 %,50.0 %,.000,.000,.000,.000,.000,.000,-100
2015-08-09,LAD,@PIT,9,RF,1,1,0,0,0,0,0,0,0,0.0 %,0.0 %,.000,1.000,1.000,1.000,1.000,.881,490
2015-08-08,LAD,@PIT,5,RF,5,0,0,0,0,1,0,0,0,20.0 %,40.0 %,.000,.000,.000,.200,.000,.137,-20
2015-08-07,LAD,@PIT,6,RF,4,0,0,0,0,0,0,0,0,0.0 %,25.0 %,.000,.000,.000,.000,.000,.000,-100
